Feature,Importance
CC_S11,0.5778613570656084
BIO_S11,0.1701819158957354
MAT_S11,0.12969368584613006
Unnamed: 9,0.0619414773314243
CR_S11,0.05105079718730134
CC_PRO,0.0007996443654887948
QR_PRO,0.0005886904504305761
WC_PRO,0.0005837417498593419
ENG_S11,0.000540163844442234
CR_PRO,0.0005272265035694828
ENG_PRO,0.000512259843262842
FEP_PRO,0.00042613081127837053
G_SC,0.0003397298415583177
2ND_DECILE,0.00013627969306359653
SEL,0.00012860604066993183
PEOPLE_HOUSE_Five,8.736790438625076e-05
OCC_MOTHER_Executive,7.920062541019997e-05
ACADEMIC_PROGRAM_INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING,7.728869950990633e-05
STRATUM_Stratum 2,7.398500051695696e-05
ACADEMIC_PROGRAM_CIVIL CONSTRUCTIONS,7.352547177311101e-05
EDU_MOTHER_Complete primary ,7.03431781187007e-05
EDU_MOTHER_0,6.776069847627629e-05
EDU_FATHER_Complete primary ,6.210305348971848e-05
PEOPLE_HOUSE_Eight,5.972321097692641e-05
PEOPLE_HOUSE_Ten,5.954822542178579e-05
EDU_FATHER_0,5.84647469542341e-05
REVENUE_10 or more LMMW,5.811069294587864e-05
REVENUE_Between 1 and less than 2 LMMW,5.808795081851138e-05
OCC_FATHER_Home,5.708654236626551e-05
REVENUE_Between 2 and less than 3 LMMW,5.685766809239208e-05
STRATUM_Stratum 1,5.4469626148822214e-05
SCHOOL_TYPE_TECHNICAL,5.095600562841234e-05
SCHOOL_NAT_PUBLIC,5.0094463391085756e-05
OCC_FATHER_Small entrepreneur ,4.8154920734202294e-05
SISBEN_Esta clasificada en otro Level del SISBEN,4.784300809297263e-05
OCC_MOTHER_Small entrepreneur ,4.640053915024652e-05
COD_S11_SB11201420583232,4.561254539562518e-05
PERCENTILE,4.508780510495091e-05
GENDER_F,4.5053542006903494e-05
MIC_OVEN_Yes,4.3902420968426826e-05
STRATUM_Stratum 3,4.376370668153151e-05
CAR_No,4.266342578689258e-05
SISBEN_Level 1,4.2573054910920456e-05
WASHING_MCH_No,4.2487096380534896e-05
COMPUTER_Yes,4.244272570258042e-05
EDU_MOTHER_Complete professional education,4.169724946830822e-05
MIC_OVEN_No,4.0749614659882114e-05
WASHING_MCH_Yes,3.9042385520728544e-05
DVD_No,3.831146498763714e-05
SCHOOL_NAME_UNIDAD PORTEÑA DE APRENDIZAJE - UPA,3.7644224296406176e-05
ACADEMIC_PROGRAM_INDUSTRIAL ENGINEERING,3.725844926423338e-05
REVENUE_0,3.6406864156523584e-05
SCHOOL_NAT_PRIVATE,3.6375806038299924e-05
CAR_Yes,3.606694035670641e-05
OCC_FATHER_Entrepreneur ,3.515724518189245e-05
PHONE_Yes,3.478422649230899e-05
MOBILE_No,3.3851117454488794e-05
OCC_FATHER_Independent professional,3.340569517489279e-05
UNIVERSITY_UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.,3.2129647917208265e-05
EDU_MOTHER_Not sure,3.199784781800214e-05
SISBEN_It is not classified by the SISBEN,3.188603076134982e-05
REVENUE_Between 3 and less than 5 LMMW,3.170440175106413e-05
STRATUM_0,3.150483322236504e-05
PEOPLE_HOUSE_Seven,3.137312942632442e-05
EDU_FATHER_Complete professional education,3.045981859285671e-05
OCC_FATHER_Independent,2.9878812652194047e-05
EDU_FATHER_Not sure,2.9636750261979603e-05
OCC_MOTHER_Entrepreneur ,2.9589014817677254e-05
OCC_MOTHER_Home,2.9446073516722802e-05
EDU_FATHER_Incomplete Professional Education,2.8800301325109093e-05
PEOPLE_HOUSE_Two,2.797999710863541e-05
ACADEMIC_PROGRAM_CATASTRAL ENGINEERING AND GEODESY,2.783511361107076e-05
COMPUTER_No,2.6867782104156624e-05
TV_Yes,2.6154508756580708e-05
PEOPLE_HOUSE_Twelve or more,2.615412909255737e-05
ACADEMIC_PROGRAM_ELECTROMECHANICAL ENGINEERING,2.579195714759481e-05
OCC_FATHER_Operator,2.5723439002269633e-05
